Lattice,E_tot,E_fermi
2,-148.343838,-9.19917506547991
2.001,-148.365781,-9.21385353673561
2.002,-148.387659,-9.22867730925620
2.003,-148.409466,-9.24362609517978
2.004,-148.431224,-9.25842649499238
2.005,-148.452919,-9.27070564877241
2.006,-148.474525,-9.28722701356210
2.007,-148.496096,-9.30357461543749
2.008,-148.517597,-9.32003389223260
2.009,-148.539035,-9.33662998138641
2.01,-148.560377,-9.35331007950357
2.011,-148.581696,-9.37017048088433
2.012,-148.602578,-9.38706687279775
2.013,-148.624091,-8.51745631355472
2.014,-148.645194,-8.53620634909625
2.015,-148.666238,-8.55509586770700
2.016,-148.687192,-7.69210998968427
2.017,-148.708086,-7.71280122699271
2.018,-148.728923,-7.73359126909711
2.019,-148.749690,-7.75449228238534
2.02,-148.770392,-7.77553164942397
2.021,-148.791015,-7.79669475706656
2.022,-148.811573,-7.81812352627361
2.023,-148.832062,-7.84017487358619
2.024,-148.852324,-7.86805677370716
2.025,-148.872967,-7.87968216507076
2.026,-148.893275,-7.90126869904761
2.027,-148.913524,-7.92279011913495
2.028,-148.933710,-7.94438566571208
2.029,-148.953835,-7.96606494768751
2.03,-148.973869,-7.98778416167895
2.031,-148.993884,-8.00959315997655
2.032,-149.013805,-8.03186066028570
2.033,-149.033665,-8.05425778230022
2.034,-149.053465,-8.07672367390549
2.035,-149.073194,-8.09922153874190
2.036,-149.092868,-8.12180770211898
2.037,-149.112477,-8.14443918744334
2.038,-149.131997,-8.16757235588267
2.039,-149.151478,-8.19031388130910
2.04,-149.170896,-8.21362311772997
2.041,-149.190256,-8.23646720956540
2.042,-149.209518,-8.26357755382891
2.043,-149.228746,-8.28841153642550
2.044,-149.247910,-8.31326955603715
2.045,-149.267012,-8.33814448012859
2.046,-149.286054,-8.36305253658131
2.047,-149.305035,-8.38798112098817
2.048,-149.323953,-8.41292077878979
2.049,-149.342779,-8.43779875243625
2.05,-149.361556,-8.46277325155969
2.051,-149.380313,-8.48776935936688
2.052,-149.398989,-8.51277326479473
2.053,-149.417604,-8.53778737635752
